rid,method,seed_method,n,k,rng,budget,iters,time,aspl,gap,diameter,girth,deg_min,deg_max,connected
0,A_random,-,10,3,1000,,,0.00010687500002859451,2.022222222222222,0.21333333333333324,4,3,3,3,1
1,A_random,-,10,3,1001,,,6.183899995448883e-05,1.8888888888888888,0.13333333333333325,3,3,3,3,1
2,A_random,-,10,3,1002,,,2.6746999992610654e-05,1.9333333333333333,0.15999999999999995,3,3,3,3,1
3,A_random,-,10,3,1003,,,0.00012098500008050905,1.8,0.07999999999999997,3,4,3,3,1
4,A_random,-,10,3,1004,,,0.00020217399992361607,1.6666666666666667,0.0,2,5,3,3,1
5,A_random,-,10,3,1005,,,4.363800007922691e-05,1.8666666666666667,0.11999999999999997,3,3,3,3,1
6,A_random,-,10,3,1006,,,8.433699997567601e-05,1.8888888888888888,0.13333333333333325,3,3,3,3,1
7,A_random,-,10,3,1007,,,2.4808000034681754e-05,1.8222222222222222,0.09333333333333327,3,3,3,3,1
8,B_girthfirst,-,10,3,2000,,,1.5132113720000007,1.6666666666666667,0.0,2,5,3,3,1
9,B_girthfirst,-,10,3,2001,,,1.5403696250000394,1.6666666666666667,0.0,2,5,3,3,1
10,B_girthfirst,-,10,3,2002,,,1.6283412669999962,1.6666666666666667,0.0,2,5,3,3,1
11,B_girthfirst,-,10,3,2003,,,1.6215640700000904,1.6666666666666667,0.0,2,5,3,3,1
12,B_girthfirst,-,10,3,2004,,,1.5003376270000217,1.6666666666666667,0.0,2,5,3,3,1
13,C_greedy,-,10,3,-1,,,0.00020044699999743898,1.8,0.07999999999999997,3,4,3,3,1
14,D_circulant,-,10,3,-1,,,4.4391999949766614e-05,1.8888888888888888,0.13333333333333325,3,4,3,3,1
15,E_polish,C,10,3,4000,quick,62339,1.0003545450000502,1.6666666666666667,0.0,2,5,3,3,1
16,E_polish,C,10,3,4000,thorough,493413,8.000303805000044,1.6666666666666667,0.0,2,5,3,3,1
17,E_polish,D,10,3,4100,quick,58781,1.0003601790000403,1.6666666666666667,0.0,2,5,3,3,1
18,E_polish,D,10,3,4100,thorough,486704,8.000416420999954,1.6666666666666667,0.0,2,5,3,3,1
19,E_polish,A,10,3,4200,quick,61177,1.000358788000085,1.6666666666666667,0.0,2,5,3,3,1
20,E_polish,A,10,3,4200,thorough,498159,8.000361994000059,1.6666666666666667,0.0,2,5,3,3,1
21,A_random,-,16,4,1000,,,0.000451548000000912,1.9666666666666666,0.13461538461538453,3,3,4,4,1
22,A_random,-,16,4,1001,,,0.0008913599999686994,1.9583333333333333,0.12980769230769224,3,3,4,4,1
23,A_random,-,16,4,1002,,,0.0002455590000636221,1.9666666666666666,0.13461538461538453,3,3,4,4,1
24,A_random,-,16,4,1003,,,0.0016875330001084876,1.975,0.13942307692307693,3,3,4,4,1
25,A_random,-,16,4,1004,,,0.0013441639999882682,1.9166666666666667,0.10576923076923077,3,3,4,4,1
26,A_random,-,16,4,1005,,,0.0006311429999641405,2.0,0.1538461538461538,3,3,4,4,1
27,A_random,-,16,4,1006,,,8.763899995756219e-05,2.0083333333333333,0.1586538461538461,4,3,4,4,1
28,A_random,-,16,4,1007,,,4.3259999984002206e-05,1.95,0.12499999999999993,3,3,4,4,1
29,B_girthfirst,-,16,4,2000,,,1.8008190399999648,1.9,0.09615384615384606,3,4,4,4,1
30,B_girthfirst,-,16,4,2001,,,1.8006096409999373,1.925,0.11057692307692306,3,4,4,4,1
31,B_girthfirst,-,16,4,2002,,,1.8006468089999998,1.9833333333333334,0.14423076923076922,3,4,4,4,1
32,B_girthfirst,-,16,4,2003,,,1.800670863999926,1.875,0.08173076923076919,3,4,4,4,1
33,B_girthfirst,-,16,4,2004,,,1.8005972260000362,1.925,0.11057692307692306,3,4,4,4,1
34,C_greedy,-,16,4,-1,,,0.0009324569999762389,1.8833333333333333,0.08653846153846148,3,4,3,4,1
35,D_circulant,-,16,4,-1,,,0.0004752350000671868,1.9333333333333333,0.11538461538461535,3,4,4,4,1
36,E_polish,C,16,4,4000,quick,24205,1.0016759599999432,1.8083333333333333,0.04326923076923074,3,3,3,4,1
37,E_polish,C,16,4,4000,thorough,191877,8.001627944999996,1.8083333333333333,0.04326923076923074,3,3,3,4,1
38,E_polish,D,16,4,4100,quick,24731,1.0018638469999814,1.75,0.009615384615384581,3,4,4,4,1
39,E_polish,D,16,4,4100,thorough,195745,8.001714859999993,1.75,0.009615384615384581,3,4,4,4,1
40,E_polish,A,16,4,4200,quick,23726,1.0016418760000079,1.75,0.009615384615384581,3,4,4,4,1
41,E_polish,A,16,4,4200,thorough,194598,8.00157737699999,1.75,0.009615384615384581,3,4,4,4,1
42,A_random,-,20,3,1000,,,0.00017402700007096428,2.7,0.14000000000000015,5,3,3,3,1
43,A_random,-,20,3,1001,,,0.00020389299993439636,2.721052631578947,0.1488888888888889,5,3,3,3,1
44,A_random,-,20,3,1002,,,0.00014718800002810895,2.736842105263158,0.15555555555555567,5,3,3,3,1
45,A_random,-,20,3,1003,,,0.0003601119999530056,2.736842105263158,0.15555555555555567,5,3,3,3,1
46,A_random,-,20,3,1004,,,0.00046630499991806573,2.6210526315789475,0.10666666666666681,5,3,3,3,1
47,A_random,-,20,3,1005,,,0.00011890600001152052,2.594736842105263,0.09555555555555557,5,4,3,3,1
48,A_random,-,20,3,1006,,,5.550400010179146e-05,2.6578947368421053,0.12222222222222233,5,4,3,3,1
49,A_random,-,20,3,1007,,,0.00024308900003688905,2.7,0.14000000000000015,5,3,3,3,1
50,B_girthfirst,-,20,3,2000,,,1.5525635739999188,2.442105263157895,0.03111111111111121,4,6,3,3,1
51,B_girthfirst,-,20,3,2001,,,1.558357272999956,2.442105263157895,0.03111111111111121,4,6,3,3,1
52,B_girthfirst,-,20,3,2002,,,1.5687296449999621,2.457894736842105,0.037777777777777806,4,6,3,3,1
53,B_girthfirst,-,20,3,2003,,,1.5528505749999795,2.4842105263157896,0.048888888888889044,4,6,3,3,1
54,B_girthfirst,-,20,3,2004,,,1.5014920149999398,2.4368421052631577,0.028888888888888888,4,6,3,3,1
55,C_greedy,-,20,3,-1,,,0.0005920099999912054,2.4,0.013333333333333376,4,5,3,3,1
56,D_circulant,-,20,3,-1,,,0.00011967900002218812,3.1052631578947367,0.31111111111111117,5,4,3,3,1
57,E_polish,C,20,3,4000,quick,12094,1.0030515419999801,2.3684210526315788,0.0,3,5,3,3,1
58,E_polish,C,20,3,4000,thorough,95992,8.002777908999974,2.3684210526315788,0.0,3,5,3,3,1
59,E_polish,D,20,3,4100,quick,11182,1.0026142919999756,2.3684210526315788,0.0,3,5,3,3,1
60,E_polish,D,20,3,4100,thorough,96713,8.002428992999967,2.3684210526315788,0.0,3,5,3,3,1
61,E_polish,A,20,3,4200,quick,12073,1.0023136070000191,2.4157894736842107,0.020000000000000157,4,5,3,3,1
62,E_polish,A,20,3,4200,thorough,97619,8.002222460999974,2.4157894736842107,0.020000000000000157,4,5,3,3,1
63,A_random,-,20,4,1000,,,0.0019076989999575744,2.126315789473684,0.09189189189189183,4,3,4,4,1
64,A_random,-,20,4,1001,,,0.0014518089999455697,2.1,0.0783783783783784,3,3,4,4,1
65,A_random,-,20,4,1002,,,0.00014698200004659157,2.1578947368421053,0.1081081081081081,4,3,4,4,1
66,A_random,-,20,4,1003,,,0.0008494949998976153,2.1473684210526316,0.10270270270270268,4,3,4,4,1
67,A_random,-,20,4,1004,,,0.0003878399999166504,2.1473684210526316,0.10270270270270268,4,3,4,4,1
68,A_random,-,20,4,1005,,,6.76629999816214e-05,2.1157894736842104,0.08648648648648641,4,3,4,4,1
69,A_random,-,20,4,1006,,,0.002825626000003467,2.1210526315789475,0.08918918918918924,4,3,4,4,1
70,A_random,-,20,4,1007,,,0.0006462540000029549,2.2157894736842105,0.13783783783783782,4,3,4,4,1
71,B_girthfirst,-,20,4,2000,,,1.800979653000013,2.0789473684210527,0.06756756756756754,3,4,4,4,1
72,B_girthfirst,-,20,4,2001,,,1.8245319630000267,2.0789473684210527,0.06756756756756754,4,4,4,4,1
73,B_girthfirst,-,20,4,2002,,,1.800955349999981,2.1315789473684212,0.09459459459459466,4,4,4,4,1
74,B_girthfirst,-,20,4,2003,,,1.8010674800000288,2.0736842105263156,0.06486486486486472,3,4,4,4,1
