n,k,weight,seeds,kept_mean,kept_min,kept_max,gap_mean,aspl_mean,connected_rate
30,4,0.0,5,0.2436,0.1818,0.3273,0.0,2.3103,1.0
30,4,0.5,5,0.9782,0.9636,1.0,0.0096,2.3324,1.0
30,4,1.0,5,0.9782,0.9636,1.0,0.0096,2.3324,1.0
30,4,2.0,5,0.9782,0.9636,1.0,0.0096,2.3324,1.0
30,4,4.0,5,0.9782,0.9636,1.0,0.0096,2.3324,1.0
30,4,8.0,5,0.9782,0.9636,1.0,0.0096,2.3324,1.0
30,4,16.0,5,0.9782,0.9636,1.0,0.0096,2.3324,1.0
60,4,0.0,5,0.1845,0.1724,0.2241,0.0314,2.867,1.0
60,4,0.5,5,0.8552,0.8276,0.8793,0.0617,2.9512,1.0
60,4,1.0,5,0.8552,0.8276,0.8793,0.0617,2.9512,1.0
60,4,2.0,5,0.8552,0.8276,0.8793,0.0617,2.9512,1.0
60,4,4.0,5,0.8552,0.8276,0.8793,0.0617,2.9512,1.0
60,4,8.0,5,0.8552,0.8276,0.8793,0.0617,2.9512,1.0
60,4,16.0,5,0.8552,0.8276,0.8793,0.0617,2.9512,1.0
120,4,0.0,5,0.2195,0.2034,0.2288,0.029,3.4934,1.0
120,4,0.5,5,0.6432,0.6271,0.6568,0.0516,3.5703,1.0
120,4,1.0,5,0.6432,0.6271,0.6568,0.0516,3.5703,1.0
120,4,2.0,5,0.6432,0.6271,0.6568,0.0516,3.5703,1.0
120,4,4.0,5,0.6432,0.6271,0.6568,0.0516,3.5703,1.0
120,4,8.0,5,0.6432,0.6271,0.6568,0.0516,3.5703,1.0
120,4,16.0,5,0.6432,0.6271,0.6568,0.0516,3.5703,1.0
