scenario,n,k,approach,seed,satisfied,req_viol,proh_viol,aspl,gap,deg_min,deg_max,connected,priors_kept,time,note
sparse_proh,30,4,A_seat,0,True,0,0,2.3563,0.0199,3,4,True,,0.0009,
sparse_proh,30,4,B_constrained,0,True,0,0,2.3678,0.0249,4,4,True,,0.0025,
sparse_proh,30,4,D_free_repair,0,True,0,0,2.3563,0.0199,3,4,True,,0.0009,
sparse_proh,30,4,B+polish,0,True,0,0,2.3103,0.0,4,4,True,,1.248,
sparse_proh,30,4,A_seat,1,True,0,0,2.3563,0.0199,3,4,True,,0.0009,
sparse_proh,30,4,B_constrained,1,True,0,0,2.3678,0.0249,4,4,True,,0.0026,
sparse_proh,30,4,D_free_repair,1,True,0,0,2.3563,0.0199,3,4,True,,0.0008,
sparse_proh,30,4,B+polish,1,True,0,0,2.3103,0.0,4,4,True,,1.2936,
tags_proh,30,4,A_seat,0,True,0,0,2.3563,0.0199,3,4,True,,0.0012,
tags_proh,30,4,B_constrained,0,True,0,0,2.3517,0.0179,3,4,True,,0.0027,
tags_proh,30,4,D_free_repair,0,True,0,0,2.446,0.0587,3,4,True,,0.0022,
tags_proh,30,4,B+polish,0,True,0,0,2.3333,0.01,3,4,True,,0.9943,
tags_proh,30,4,A_seat,1,True,0,0,2.3563,0.0199,3,4,True,,0.0012,
tags_proh,30,4,B_constrained,1,True,0,0,2.3954,0.0368,3,4,True,,0.0025,
tags_proh,30,4,D_free_repair,1,True,0,0,2.5609,0.1085,3,4,True,,0.0016,
tags_proh,30,4,B+polish,1,True,0,0,2.3517,0.0179,3,4,True,,1.0254,
req_matching,30,4,A_seat,0,True,0,0,2.3563,0.0199,3,4,True,,0.0027,
req_matching,30,4,B_constrained,0,True,0,0,2.3632,0.0229,3,4,True,,0.0022,
req_matching,30,4,D_free_repair,0,True,0,0,2.3954,0.0368,3,4,True,,0.001,
req_matching,30,4,B+polish,0,True,0,0,2.331,0.009,3,4,True,,0.988,
req_matching,30,4,A_seat,1,True,0,0,2.3563,0.0199,3,4,True,,0.0024,
req_matching,30,4,B_constrained,1,True,0,0,2.3609,0.0219,3,4,True,,0.0024,
req_matching,30,4,D_free_repair,1,True,0,0,2.4989,0.0816,3,4,True,,0.001,
req_matching,30,4,B+polish,1,True,0,0,2.3287,0.008,3,4,True,,0.9989,
req_triangles,30,4,A_seat,0,False,5,0,2.3563,0.0199,3,4,True,,0.0089,
req_triangles,30,4,B_constrained,0,True,0,0,2.4,0.0388,4,4,True,,0.002,
req_triangles,30,4,D_free_repair,0,True,0,0,2.5103,0.0866,3,4,True,,0.0011,
req_triangles,30,4,B+polish,0,True,0,0,2.3494,0.0169,4,4,True,,0.7216,
req_triangles,30,4,A_seat,1,False,5,0,2.3563,0.0199,3,4,True,,0.0088,
req_triangles,30,4,B_constrained,1,True,0,0,2.3954,0.0368,4,4,True,,0.002,
req_triangles,30,4,D_free_repair,1,True,0,0,2.4736,0.0706,3,4,True,,0.001,
req_triangles,30,4,B+polish,1,True,0,0,2.3517,0.0179,4,4,True,,0.714,
mixed,30,4,A_seat,0,True,0,0,2.3563,0.0199,3,4,True,,0.0024,
mixed,30,4,B_constrained,0,True,0,0,2.3632,0.0229,3,4,True,,0.0022,
mixed,30,4,D_free_repair,0,True,0,0,2.4943,0.0796,3,4,True,,0.0011,
mixed,30,4,B+polish,0,True,0,0,2.331,0.009,3,4,True,,0.9875,
mixed,30,4,A_seat,1,True,0,0,2.3563,0.0199,3,4,True,,0.0026,
mixed,30,4,B_constrained,1,True,0,0,2.3678,0.0249,3,4,True,,0.0023,
mixed,30,4,D_free_repair,1,True,0,0,2.4989,0.0816,3,4,True,,0.001,
mixed,30,4,B+polish,1,True,0,0,2.3356,0.0109,3,4,True,,1.0199,
churn_priors,30,4,A_seat,0,True,0,0,2.3563,0.0199,3,4,True,0.19,0.0009,
churn_priors,30,4,B_constrained,0,True,0,0,2.3678,0.0249,4,4,True,0.31,0.0026,
churn_priors,30,4,D_free_repair,0,True,0,0,2.3563,0.0199,3,4,True,0.5,0.0008,
churn_priors,30,4,B+polish,0,True,0,0,2.3448,0.0149,4,4,True,0.966,1.3129,
churn_priors,30,4,A_seat,1,True,0,0,2.3563,0.0199,3,4,True,0.069,0.0009,
churn_priors,30,4,B_constrained,1,True,0,0,2.3678,0.0249,4,4,True,0.31,0.0025,
churn_priors,30,4,D_free_repair,1,True,0,0,2.3563,0.0199,3,4,True,0.5,0.001,
churn_priors,30,4,B+polish,1,True,0,0,2.3333,0.01,4,4,True,0.862,1.2891,
sparse_proh,60,4,A_seat,0,True,0,0,2.948,0.0606,4,4,True,,0.0035,
sparse_proh,60,4,B_constrained,0,True,0,0,2.9554,0.0632,4,4,True,,0.0122,
sparse_proh,60,4,D_free_repair,0,True,0,0,2.9469,0.0602,4,4,True,,0.0035,
sparse_proh,60,4,B+polish,0,True,0,0,2.8797,0.036,4,4,True,,5.8641,
sparse_proh,60,4,A_seat,1,True,0,0,2.948,0.0606,4,4,True,,0.0035,
sparse_proh,60,4,B_constrained,1,True,0,0,2.9554,0.0632,4,4,True,,0.01,
sparse_proh,60,4,D_free_repair,1,True,0,0,2.948,0.0606,4,4,True,,0.0035,
sparse_proh,60,4,B+polish,1,True,0,0,2.8723,0.0333,4,4,True,,6.0183,
tags_proh,60,4,A_seat,0,True,0,0,2.948,0.0606,4,4,True,,0.0041,
tags_proh,60,4,B_constrained,0,True,0,0,2.9362,0.0563,4,4,True,,0.0098,
tags_proh,60,4,D_free_repair,0,True,0,0,3.1706,0.1407,4,4,True,,0.0065,
tags_proh,60,4,B+polish,0,True,0,0,2.8757,0.0346,4,4,True,,5.2368,
tags_proh,60,4,A_seat,1,True,0,0,2.948,0.0606,4,4,True,,0.0036,
tags_proh,60,4,B_constrained,1,True,0,0,2.9141,0.0484,4,4,True,,0.0099,
tags_proh,60,4,D_free_repair,1,True,0,0,3.0373,0.0927,4,4,True,,0.0064,
